Individual	PopName
Arizona_AZ014430	Arizona
Arizona_AZ014431	Arizona
Arizona_AZ014434	Arizona
Arizona_AZ02008	Arizona
Arizona_AZ02009	Arizona
Arizona_AZ02010	Arizona
Arizona_AZ95099	Arizona
Arizona_AZ95100	Arizona
Arizona_SAE138	Arizona
Arizona_SAE140	Arizona
Basse_BasseTK249338	Basse
Basse_BasseTK249340	Basse
Basse_BasseTK249341	Basse
Basse_BasseTK249342	Basse
Baylor_BaylorTK249297	Baylor
Baylor_BaylorTK249298	Baylor
Baylor_BaylorTK249299	Baylor
Baylor_BaylorTK249300	Baylor
Baylor_BaylorTK249302	Baylor
Baylor_BaylorTK249303	Baylor
Baylor_BaylorTK249304	Baylor
Baylor_BaylorTK249305	Baylor
Baylor_BaylorTK249306	Baylor
Baylor_BaylorTK249307	Baylor
Beaches_BeachesTK249287	Beaches
Beaches_BeachesTK249288	Beaches
Beaches_BeachesTK249289	Beaches
Beaches_BeachesTK249290	Beaches
Beaches_BeachesTK249291	Beaches
Beaches_BeachesTK249292	Beaches
Beaches_BeachesTK249293	Beaches
Beaches_BeachesTK249294	Beaches
Beaches_BeachesTK249295	Beaches
Beaches_BeachesTK249296	Beaches
BlackGap_BlackGapTK249307	BlackGap
BlackGap_BlackGapTK249308	BlackGap
BlackGap_BlackGapTK249309	BlackGap
BlackGap_BlackGapTK249310	BlackGap
BlackGap_BlackGapTK249311	BlackGap
BlackGap_BlackGapTK249312	BlackGap
BlackGap_BlackGapTK249313	BlackGap
BlackGap_BlackGapTK249314	BlackGap
BlackGap_BlackGapTK249315	BlackGap
BlackGap_BlackGapTK249316	BlackGap
BlackGap_BlackGapTK249317	BlackGap
BlackGap_BlackGapTK249318	BlackGap
BlackGap_BlackGapTK249319	BlackGap
BlackGap_BlackGapTK249320	BlackGap
BlackGap_BlackGapTK249321	BlackGap
BlackGap_BlackGapTK249322	BlackGap
BlackGap_BlackGapTK249323	BlackGap
BlackGap_BlackGapTK249324	BlackGap
BlackGap_BlackGapTK249325	BlackGap
BlackGap_BlackGapTK249326	BlackGap
BlackGap_ReaganCanyonTK249330	BlackGap
BlackGap_ReaganCanyonTK249331	BlackGap
BlackGap_ReaganCanyonTK249332	BlackGap
BlackMtnsAZ_AZ95046	BlackMtnsAz
BlackMtnsAZ_AZ95047	BlackMtnsAz
BlackMtnsAZ_AZ95048	BlackMtnsAz
BlackMtnsAZ_AZ95049	BlackMtnsAz
BlackMtnsAZ_AZ95050	BlackMtnsAz
California_CaliforniaTK259851	California
Colorado_ColoradoTK259852	Colorado
Dove_DoveTK249333	Dove
Dove_DoveTK249334	Dove
Dove_DoveTK249335	Dove
Dove_DoveTK249336	Dove
Dove_DoveTK249337	Dove
Dove_DoveTK249343	Dove
ElCarmenMX_MX1	ElCarmenMX
ElephantMtn_ElephantTK256686	ElephantMtn
ElephantMtn_ElephantTK256693	ElephantMtn
ElephantMtn_ElephantTK256697	ElephantMtn
ElephantMtn_ElephantTK256698	ElephantMtn
ElephantMtn_ElephantTK256700	ElephantMtn
ElephantMtn_ElephantTK256730	ElephantMtn
ElephantMtn_ElephantTK256731	ElephantMtn
ElephantMtn_ElephantTK256733	ElephantMtn
ElephantMtn_ElephantTK256737	ElephantMtn
ElephantMtn_ElephantTK256740	ElephantMtn
ElephantMtn_ElephantTK256742	ElephantMtn
ElephantMtn_ElephantTK256744	ElephantMtn
ElephantMtn_ElephantTK256746	ElephantMtn
ElephantMtn_ElephantTK256747	ElephantMtn
ElephantMtn_ElephantTK256748	ElephantMtn
ElephantMtn_ElephantTK256752	ElephantMtn
ElephantMtn_ElephantTK256753	ElephantMtn
ElephantMtn_ElephantTK256754	ElephantMtn
ElephantMtn_ElephantTK256757	ElephantMtn
ElephantMtn_ElephantTK256764	ElephantMtn
ElephantMtn_ElephantTK256765	ElephantMtn
ElephantMtn_ElephantTK256768	ElephantMtn
ElephantMtn_ElephantTK256770	ElephantMtn
ElephantMtn_ElephantTK256772	ElephantMtn
ElephantMtn_ElephantTK256777	ElephantMtn
GabbsValley-GBL_NV98001	GabbsValleyGBL
GabbsValley-GBL_NV98002	GabbsValleyGBL
GabbsValley-GBL_NV98003	GabbsValleyGBL
GabbsValley-GBL_NV98004	GabbsValleyGBL
GabbsValley-GBL_NV98005	GabbsValleyGBL
GabbsValley-GBL_NV98006	GabbsValleyGBL
GabbsValley-GBL_NV98007	GabbsValleyGBL
GabbsValley-GBL_NV98008	GabbsValleyGBL
GabbsValley-GBL_NV98009	GabbsValleyGBL
GabbsValley-GBL_NV98010	GabbsValleyGBL
GabbsValley-GBL_NV98011	GabbsValleyGBL
GabbsValley-GBL_NV98012	GabbsValleyGBL
GabbsValley-GBL_NV98013	GabbsValleyGBL
GabbsValley-GBL_NV98014	GabbsValleyGBL
GabbsValley-ML_NV98015	GabbsValleyML
GabbsValley-ML_NV98016	GabbsValleyML
GabbsValley-ML_NV98017	GabbsValleyML
GabbsValley-ML_NV98018	GabbsValleyML
GabbsValley-ML_NV98019	GabbsValleyML
MormonMtnsNV_108	MormonMtnsNV
MormonMtnsNV_118	MormonMtnsNV
MormonMtnsNV_152	MormonMtnsNV
MormonMtnsNV_512	MormonMtnsNV
MormonMtnsNV_522	MormonMtnsNV
MuddyMtnsNV_NV94001	MuddyMtnsNV
MuddyMtnsNV_NV94008	MuddyMtnsNV
MuddyMtnsNV_NV94009	MuddyMtnsNV
MuddyMtnsNV_NV94010	MuddyMtnsNV
MuddyMtnsNV_NV94014	MuddyMtnsNV
MuddyMtnsNV_NV94015	MuddyMtnsNV
MuddyMtnsNV_NV94016	MuddyMtnsNV
MuddyMtnsNV_NV94020	MuddyMtnsNV
MuddyMtnsNV_NV95001	MuddyMtnsNV
MuddyMtnsNV_NV95002	MuddyMtnsNV
MuddyMtnsNV_NV95003	MuddyMtnsNV
MuddyMtnsNV_NV95005	MuddyMtnsNV
MuddyMtnsNV_NV95006	MuddyMtnsNV
MuddyMtnsNV_NV95008	MuddyMtnsNV
MuddyMtnsNV_NV95009	MuddyMtnsNV
MuddyMtnsNV_NV95011	MuddyMtnsNV
MuddyMtnsNV_NV95012	MuddyMtnsNV
MuddyMtnsNV_NV95013	MuddyMtnsNV
MuddyMtnsNV_NV95014	MuddyMtnsNV
MuddyMtnsNV_NV95015	MuddyMtnsNV
MuddyMtnsNV_NV95016	MuddyMtnsNV
MuddyMtnsNV_NV95017	MuddyMtnsNV
MuddyMtnsNV_NV95018	MuddyMtnsNV
MuddyMtnsNV_NV95020	MuddyMtnsNV
MuddyMtnsNV_NV95021	MuddyMtnsNV
MuddyMtnsNV_NV95022	MuddyMtnsNV
RockyMtnIdaho_IdahoTK259853	RockyIdaho
RockyMtnNM_NewMexicoTK259845	RockyNM
RockyMtnNM_NewMexicoTK259846	RockyNM
RockyMtnNM_NewMexicoTK259847	RockyNM
RockyMtnNM_NewMexicoTK259848	RockyNM
RockyMtnNM_NewMexicoTK259849	RockyNM
RockyMtnNM_NewMexicoTK259850	RockyNM
SierraDiablo_DiablosTK200911	SierraDiablo
SierraDiablo_DiablosTK249257	SierraDiablo
SierraDiablo_DiablosTK249258	SierraDiablo
SierraDiablo_DiablosTK249259	SierraDiablo
SierraDiablo_DiablosTK249260	SierraDiablo
SierraDiablo_DiablosTK249261	SierraDiablo
SierraDiablo_DiablosTK249262	SierraDiablo
SierraDiablo_DiablosTK249263	SierraDiablo
SierraDiablo_DiablosTK249264	SierraDiablo
SierraDiablo_DiablosTK249265	SierraDiablo
SierraDiablo_DiablosTK249266	SierraDiablo
SierraDiablo_DiablosTK249267	SierraDiablo
SierraDiablo_DiablosTK249268	SierraDiablo
SierraDiablo_DiablosTK249269	SierraDiablo
SierraDiablo_DiablosTK249270	SierraDiablo
SierraDiablo_DiablosTK249271	SierraDiablo
SierraDiablo_DiablosTK249272	SierraDiablo
SierraDiablo_DiablosTK249273	SierraDiablo
SierraDiablo_DiablosTK249274	SierraDiablo
SierraDiablo_DiablosTK249275	SierraDiablo
SierraDiablo_DiablosTK249276	SierraDiablo
SierraDiablo_DiablosTK249277	SierraDiablo
SierraDiablo_DiablosTK249278	SierraDiablo
SierraDiablo_DiablosTK249279	SierraDiablo
SierraDiablo_DiablosTK249280	SierraDiablo
SierraDiablo_DiablosTK249281	SierraDiablo
SierraDiablo_DiablosTK249282	SierraDiablo
SierraDiablo_DiablosTK249283	SierraDiablo
SierraDiablo_DiablosTK249284	SierraDiablo
SierraDiablo_DiablosTK249285	SierraDiablo
SierraDiablo_DiablosTK249286	SierraDiablo
SonoraMX_YAQUI1	Sonora
SonoraMX_YAQUI2	Sonora
SonoraMX_YAQUI3	Sonora
SonoraMX_YAQUI4	Sonora
SonoraMX_YAQUI5	Sonora
SouthernCalifornia_PEBS19	SouthCalifornia
SouthernCalifornia_PEBS27	SouthCalifornia
SouthernCalifornia_PEBS32	SouthCalifornia
SouthernCalifornia_PEBS38	SouthCalifornia
SouthernCalifornia_PEBS51	SouthCalifornia
SouthernCalifornia_PEBS60	SouthCalifornia
SouthernCalifornia_PEBS64	SouthCalifornia
SouthernCalifornia_PEBS65	SouthCalifornia
SouthernCalifornia_PEBS70	SouthCalifornia
SouthernCalifornia_PEBS85	SouthCalifornia
VanHorn_VanHornTK249450	VanHorn
VanHorn_VanHornTK256543	VanHorn
VanHorn_VanHornTK256544	VanHorn
VanHorn_VanHornTK256545	VanHorn
VanHorn_VanHornTK256546	VanHorn
VanHorn_VanHornTK256547	VanHorn
VanHorn_VanHornTK256548	VanHorn
VanHorn_VanHornTK256549	VanHorn
VanHorn_VanHornTK256550	VanHorn
VanHorn_VanHornTK256551	VanHorn
VanHorn_VanHornTK256552	VanHorn
VanHorn_VanHornTK256553	VanHorn
VanHorn_VanHornTK256554	VanHorn
VanHorn_VanHornTK256555	VanHorn
VanHorn_VanHornTK256556	VanHorn
VanHorn_VanHornTK256558	VanHorn
VanHorn_VanHornTK256559	VanHorn
VanHorn_VanHornTK256560	VanHorn
VanHorn_VanHornTK256561	VanHorn
VanHorn_VanHornTK256564	VanHorn
VanHorn_VanHornTK256573	VanHorn
VanHorn_VanHornTK256574	VanHorn
VanHorn_VanHornTK256575	VanHorn
VanHorn_VanHornTK256576	VanHorn
VanHorn_VanHornTK256577	VanHorn
VanHorn_VanHornTK256578	VanHorn
VanHorn_VanHornTK256582	VanHorn
VanHorn_VanHornTK256583	VanHorn
VanHorn_VanHornTK256585	VanHorn
VanHorn_VanHornTK256609	VanHorn
VanHorn_VanHornTK256610	VanHorn
VanHorn_VanHornTK256621	VanHorn
VanHorn_VanHornTK256622	VanHorn
VanHorn_VanHornTK256623	VanHorn
VanHorn_VanHornTK256624	VanHorn
VanHorn_VanHornTK256625	VanHorn
VanHorn_VanHornTK256630	VanHorn
VanHorn_VanHornTK256633	VanHorn
